Class,Category,Item,Part / SKU,Qty,Unit Cost,Extended,Price Basis,Acquisition Gate,Trace / Requirement,Notes
NODE-CORE,Compute,"Raspberry Pi Compute Module 4, 8GB RAM / 32GB eMMC / Wi-Fi",CM4108032,1,195,195,v0.2 sourced,BUY NOW,FML-ADR-021/022; HW-01; COMP-01,Unchanged from v0.2. Onboard Wi-Fi serves the EUD AP so HaLow can stay on SPI.
NODE-CORE,Compute,"Compact CM4 carrier, 85x56mm, RTC, M.2 M-key, 2x USB2",Waveshare CM4-IO-BASE-C,1,21.99,21.99,v0.2 sourced,BUY NOW,CARRIER-01; PACK-01,"Unchanged. NOTE: its single M.2 M-key slot is consumed by the QCA6174 adapter, so there is no NVMe path. See Storage rows."
NODE-CORE,Compute,RTC coin cell,CR1220,1,2,2,v0.2 sourced,BUY NOW,FML-ADR-042; TIME-01,Unchanged.
NODE-CORE,HaLow,"US915 HaLow module, SPI",Seeed Wio-WM6108 US915-SPI,1,14.99,14.99,v0.2 sourced,BUY NOW,FML-ADR-024; LINUX-01,Unchanged. SPI caps HaLow throughput below the radio's capability - measure the ceiling in Stage 2; it constrains voice-over-HaLow.
NODE-CORE,HaLow,mini-PCIe carrier HAT for WM6108,Seeed WM1302 Pi HAT,1,19.9,19.9,v0.2 sourced,BUY NOW,LINUX-01; CARRIER-01,Unchanged. FIT CHECK: confirm the HAT passes through or stacks the GPIO header - the I2C display and EMCON button need it.
NODE-CORE,HaLow,HaLow pigtail + 902-928 MHz antenna,I-PEX/MHF to SMA + 2-3dBi whip,1,9.9,9.9,v0.2 sourced,BUY NOW,RF; Stage 8,Unchanged.
NODE-CORE,High-rate Wi-Fi,802.11s-capable Wi-Fi card,SparkLAN QCA6174A M.2 2230,1,36.9,36.9,v0.2 sourced,BUY 1 THEN VERIFY,FML-ADR-025/045; RF-01/RF-03,Unchanged. Highest-risk item in the BOM; correctly gated to one unit.
NODE-CORE,High-rate Wi-Fi,Passive M.2 M-key to A/E-key adapter,EP-002-type,1,9.68,9.68,v0.2 sourced,BUY 1 THEN VERIFY,RF-01; CARRIER-01,"Unchanged. Verify PCIe routing, stack height, and kernel enumeration before quantity two."
NODE-CORE,High-rate Wi-Fi,Dual Wi-Fi pigtails + external antennas,2x MHF4 to RP-SMA + dual-band whips,1,28,28,v0.2 sourced,BUY AFTER RADIO VERIFY,RF-03; Stage 8,Unchanged. Two feeds for the 2x2 radio.
NODE-CORE,EUD WLAN,CM4 external Wi-Fi antenna kit,Raspberry Pi Antenna Kit,1,10,10,v0.2 sourced,BUY NOW,Stage 1/8,"Unchanged. Accepted limitation: CYW43455 is single-stream; adequate for 4-8 EUDs, exit criterion is Stage 1 client-count testing."
NODE-CORE,LoRa,Integrated Meshtastic core + mini base,RAK19003 + RAK4631 US915,1,31.97,31.97,v0.2 sourced,BUY NOW,FML-ADR-026; Stage 3,"CHANGED INTERFACE: attach via UART, not USB. Preserves both USB2 ports for TNC / storage / audio."
NODE-CORE,GNSS,Integrated GNSS daughter module,RAK12501 / Quectel L76K,1,8.9,8.9,v0.2 sourced,BUY NOW,FML-ADR-042; TIME-01,Unchanged. Antenna moves behind the non-metallic end panel - see Enclosure.
NODE-CORE,Enclosure,"Watertight extruded aluminum shell, TALLER section","Hammond 1457 family, height TBD",1,55,55,Estimate (Claude),BUY 1 FIT ARTICLE,PACK-01; THERM-01; CARRIER-01,"CHANGED from 1457K1601BK. Stack is carrier+CM4 / WM1302 HAT+mini-PCIe / M.2 adapter+QCA6174. Measure the stack, then pick the section height. Allowance assumes same family, +1 height step."
NODE-CORE,Enclosure,Non-metallic end panel with bonded display window,Machined PC / printed + bonded lens,1,20,20,Estimate (Claude),BUY AFTER STACK MEASURE,TIME-01; PACK-01; CONOPS 65/67,"NEW. One panel does three jobs: display window, internal GNSS patch, RF transparency. Removes the RF-6 external GNSS feed. Attenuation must be tested, not assumed."
NODE-CORE,Enclosure,3D-printed internal sled / retainers / battery interface / guards,ASA + TPU,1,15,15,v0.2 sourced,BUY NOW,CARRIER-01; Stage 8,Unchanged philosophy. CONSTRAINT: the sled must not sit between the CM4 and the extrusion wall - printed plastic is an insulator.
NODE-CORE,Enclosure,"RF bulkheads, four connector families, sealing washers, glands",Mixed SMA / RP-SMA / N / TNC allowance,1,32,32,Estimate (Claude),BUY AFTER PANEL LAYOUT,CONOPS 38 (C38-02); Stage 8,CHANGED from 25.00. Deliberately mixed connector families so HaLow / LoRa / EUD AP / high-rate cannot be cross-connected. Closes C38-02 mechanically rather than by marking.
NODE-CORE,Enclosure,Pressure-equalisation membrane vent,Gore-type PTFE vent,1,8,8,Estimate (Claude),BUY WITH PANEL,Stage 8,NEW. A sealed metal box that heats under load and cools overnight pumps moisture past any gasket. Classic field failure; trivial to prevent.
NODE-CORE,Thermal,"Heat spreader, CM4 heatsink, machined conductive bridge to shell wall",Prototype thermal kit + bridge,1,28,28,Estimate (Claude),BUY NOW,THERM-01,CHANGED from 12.00. Aluminum only helps if the CM4 is conductively coupled to the wall; the 1457 card guides do not provide that path on their own.
NODE-CORE,Mechanical,Printed RF connector guard + MOLLE / radio-pouch backer,ASA + stainless,1,12,12,v0.2 sourced,BUY AFTER FIT CHECK,Stage 8,Unchanged.
NODE-CORE,Operator I/O,"Monochrome OLED display, I2C",SSD1306 / SH1106 1.3in,1,8,8,Estimate (Claude),BUY NOW,CONOPS 65/67; FML-ADR-046,"NEW. Dark by default, momentary wake. Module of the Status Aggregator, not a new daemon. ~20mW when lit, zero when off."
NODE-CORE,Operator I/O,"Sealed momentary pushbutton, IP-rated",Panel-mount momentary,1,12,12,Estimate (Claude),BUY WITH PANEL,CONOPS 23/65; EMCON,NEW. Wakes the display and confirms EMCON state without illuminating anything or opening a browser.
NODE-CORE,Power,USB-C PD 20V sink / trigger board,PD sink module,1,8,8,Estimate (Claude),BUY NOW,PWR-01; CONOPS 62,"NEW. Powers the prototype for TBR-PWR-01 immediately, off any PD charger or power bank. Decouples the power trade from the pack sourcing problem."
NODE-CORE,Power,Wide-input (9-32V) buck-boost CC/CV charge stage,"Charge module, pack spec TBD",1,30,30,Estimate (Claude),BUY AFTER BATTERY SPEC,PWR-01; CONOPS 62/63,"NEW. One stage covers 20V USB-C PD, 12V vehicle, and solar. A buck-only design silently fails the vehicle case: 12-13.8V is below a 4S 16.8V termination."
NODE-CORE,Power,Rugged power harness / fuse / keyed sealed disconnect,Deutsch / Mini-Fit class,1,20,20,v0.2 sourced,BUY AFTER BATTERY SELECT,PWR-01; Stage 8,"Unchanged. Side/rear face, off the RF panel."
NODE-CORE,Power,Printed battery cradle / rear sled / pouch-cable option,ASA + TPU + strap,1,8,8,v0.2 sourced,BUY AFTER BATTERY SELECT,PACK-01; Stage 8,Unchanged. Also supports the pouch-mounted-battery variant.
NODE-HOLD,Power,"Flat 4S1P 18650 smart pack, ~50Wh, BMS + fuel gauge",Vendor TBD,1,95,95,Estimate (Claude),HOLD - SPEC THEN SOURCE,PWR-01; PACK-01; CONOPS 59/63/67,"CHANGED from GlobTek 4S1P 21700 72Wh. 21mm cells give a 31mm pack that cannot stack inside the shell. 18650 gives ~20-22mm and packages. Fuel gauge is a requirement driver from CONOPS 67, not a luxury. Trade 3S against 4S: 3S charges from the 15V PD profile with a simple buck."
RELAY,Compute,"Compute Module 4, 2GB, Lite, Wi-Fi",CM4102000,1,60,60,Estimate (Claude),BUY NOW,Stage 2,"NEW NODE. Minimal third node so Stage 2 can test multi-hop, relay, topology change, and BATMAN reconvergence. Two nodes cannot answer any of those."
RELAY,Compute,Compact CM4 carrier,Waveshare CM4-IO-BASE-C,1,21.99,21.99,v0.2 sourced,BUY NOW,Stage 2,microSD boot for the Lite module.
RELAY,Compute,"microSD card, 32GB industrial",A2 / pSLC class,1,10,10,Estimate (Claude),BUY NOW,Stage 2,Boot media for the Lite CM4.
RELAY,HaLow,"US915 HaLow module, SPI",Seeed Wio-WM6108 US915-SPI,1,14.99,14.99,v0.2 sourced,BUY NOW,Stage 2,"HaLow only. No high-rate radio, no final enclosure, no battery."
RELAY,HaLow,mini-PCIe carrier HAT,Seeed WM1302 Pi HAT,1,19.9,19.9,v0.2 sourced,BUY NOW,Stage 2,
RELAY,HaLow,Pigtail + 902-928 MHz antenna,MHF to SMA + whip,1,9.9,9.9,v0.2 sourced,BUY NOW,Stage 2,
RELAY,Power,USB-C PD sink / bench power,PD sink module,1,8,8,Estimate (Claude),BUY NOW,Stage 2,Bench powered. Relay node never needs a pack.
RELAY,Mechanical,Printed open frame / mount,ASA,1,8,8,Estimate (Claude),BUY NOW,Stage 2,"No enclosure. This node is a test asset, not a field article."
SHARED,Shared Test,Inline DC power meter / logger,0-30V field power meter,1,35,35,v0.2 sourced,BUY NOW,PWR-01,Unchanged.
SHARED,Shared Test,Thermocouple meter + probes,Dual-channel K-type logger,1,35,35,v0.2 sourced,BUY NOW,THERM-01,Unchanged.
SHARED,Shared Test,USB-C 100W PD source,"PD wall charger, 20V/5A",1,30,30,Estimate (Claude),BUY NOW,PWR-01,NEW. Powers all three nodes for the first power runs. Replaces the need to buy a bench battery pack at Gate 1.
SHARED,Shared Test,USB2 SSD test article,Small SATA SSD + USB2 bridge,1,25,25,Estimate (Claude),BUY AFTER COMP-01,COMP-01; FML-ADR-050,"NEW. Characterises whether USB2 storage is survivable for Postgres, given the M.2 slot is spent on the Wi-Fi card and only 32GB eMMC remains."
SHARED,Shared Test,Spare RF pigtails / antennas / bulkheads,RF spare kit,1,40,40,v0.2 sourced,BUY AFTER PANEL LAYOUT,Stage 8,Unchanged.
SHARED,Shared Fabrication,"Heat-set inserts, fasteners, seals, wiring consumables",Build consumables,1,35,35,v0.2 sourced,BUY NOW,CARRIER-01,Unchanged.
DEFERRED,Deferred Feature,Team PTT / TL-to-TL / WAN VoIP,EUD provides audio I/O,0,0,0,v0.2 sourced,NO BOM ADD NOW,Future CONOPS v1.1,"Unchanged from v0.2. Software, QoS, and test work only. Note: prefer wired headsets over Bluetooth for EMCON (CONOPS 71)."
DEFERRED,Deferred Feature,Peer EUD video over high-rate mesh,EUD camera / source,0,0,0,v0.2 sourced,NO BOM ADD NOW,Future CONOPS v1.1,"Unchanged. Requires DSCP/WMM enforcement, not politeness - see TBR-QOS-01 recommendation."
